country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Sweden,,,,,0.0191,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
Switzerland,,,,,,,0.054,,,,,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
Tajikistan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3
Tanzania,0.01,,,,,,,,,,,4.8,5.7,6.5,7.1,7.6,7.8,7.9,7.9,7.7,7.5,7.3,7.1,6.8,6.6,6.4,6.2,6,5.9,5.8,5.8,5.8,5.8
Thailand,,,,,,,0.01,,,,,1,1.5,1.8,2,2.1,2.1,2.1,2,2,1.9,1.8,1.7,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2
Togo,0.0099,,,,,,,,,,,0.6,0.8,1.2,1.6,2,2.5,2.9,3.1,3.4,3.5,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.6,3.5,3.4
Trinidad and Tobago,,,,0.0106,,,,,,,,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.5
Tunisia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Turkey,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Uganda,0.01,,,,,,,,,,,10.2,10.7,10.5,10.2,9.8,9.3,8.8,8.4,8,7.6,7.3,7,6.8,6.6,6.4,6.4,6.3,6.3,6.4,6.9,7,7.2
Ukraine,,,,,,,,,,,,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,0.9,0.9,1,1.1,1.1,1.1,1.1,1.1,1.1,0.9,0.8,0.8
United Kingdom,,,,,0.0193,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
United States,0.0318,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Uruguay,0.0097,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
Uzbekistan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5
Vietnam,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2
Zambia,0.01,,,,,,,,,,,12.7,13.6,14.2,14.6,14.9,15,14.9,14.8,14.7,14.6,14.4,14.3,14.2,14.1,14,13.9,13.8,13.7,13.6,12.9,12.7,12.5
Zimbabwe,0.01,,,,,,,,,,,10.1,13.6,17.2,20.6,23.3,25.1,26.2,26.5,26.3,25.7,24.8,23.7,22.5,21.1,19.8,18.4,17.2,16.1,15.1,15.7,15.2,14.9
